Feature	MIXF1	MIXF2	MIXF3	MIXF4	MIXF5	MIXF6	MIXM11	MIXM12	MIXM13	MIXM14	MIXM15	MIXM16	MIXM21	MIXM22	MIXM23	MIXM24	MIXM25	MIXM26	OTCM11	OTCM12	OTCM13	OTCM14	OTCM15	OTCM16	OTCM21	OTCM22	OTCM23	OTCM24	OTCM25	OTCM26	OTCF1	OTCF2	OTCF3	OTCF4	OTCF5	SCF1	SCF2	SCF3	SCF4	SCF5	SCF6	SCM11	SCM12	SCM13	SCM14	SCM15	SCM16	SCM21	SCM22	SCM23	SCM24	SCM25	SCM26	SMXF1	SMXF2	SMXF3	SMXF4	SMXF5	SMXF6	SMXM11	SMXM12	SMXM13	SMXM14	SMXM15	SMXM16	SMXM21	SMXM22	SMXM23	SMXM24	SMXM25
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	2140.9108602569086	10008.103727714753	501.83362285273154	307.85807742630635	2219.667842562131	349.854227405248	4146.51002073255	6683.0542326010045	6545.762581340726	5407.271053842605	7252.183668563182	4869.818628014879	4029.627355413131	4933.437744714175	2877.4740444064228	497.9507411805264	0.0	1187.1936274509806	7811.00432668377	9420.234357049852	6776.157114964959	7274.119448698321	11802.575107296128	10030.243865089387	1990.7354236055291	6442.458871802735	11491.150271854387	3640.125680128744	1457.8377963630774	347.47693139261094	957.2675754326848	0.0	535.9672294322576	842.234217679262	191.4168676543777	694.2301758716438	0.0	3932.8999117104086	962.2416381201641	2758.459924627997	1654.4824932666413	4405.792659566312	7057.650262744047	3373.3277111204798	3427.691122665125	3678.724708767628	4220.218684059078	8725.099601593627	115.00421682128322	19450.751895805664	692.8673159090033	3475.0376462411646	231.28517462030678	1152.472052552725	892.4414092813902	1035.5540214014495	191.41686765437777	690.5547456456686	2666.8998382372265	2487.948997045558	2647.6343962242454	5438.529299119111	3834.649896464457	1962.2931896883426	5493.872219447536	1356.168629882207	1623.5648846109225	6008.5490765384375	1493.6519790888713	657.3096701852064
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	29349.941611521965	63168.557536466804	27562.246670526943	9081.813284076035	34365.214633953	46647.23032069972	41772.24909775015	56998.00276540166	58565.32286011321	63660.07056296966	66511.73972273416	58936.30890755013	18114.134397666643	25254.50274079875	10226.698292957957	11989.121691500362	23296.56325912947	6089.154411764707	39744.227897538	37987.28651298151	42111.71088396301	27526.799387442596	28586.756591048415	34761.30316603497	59147.812105202705	35471.87176439005	39524.92962634479	24714.53751245305	41893.654569170525	41542.79757538327	15546.025425026795	9849.762379273332	10489.644347459893	33115.11810420733	7273.840970866353	34750.07713668617	10288.224414303328	51850.06822377395	14125.707247604003	28788.997241540073	15659.869180454018	43215.07930426782	35403.32169843887	39444.93425844288	27151.935297515873	40772.5321888412	37022.82754651827	70717.13147410357	74867.74515065536	120474.70116961574	117056.08375995992	52897.79528167106	28409.528949194348	19592.02489339632	9351.233897252825	12618.41752003988	6355.040006125343	15268.932709276443	34363.66021072884	28067.17462292018	55024.74962587777	51014.936805821504	53493.36605567916	24009.23432089266	41453.76311037686	68273.40359578427	84309.40507943858	39196.7094120494	112927.95094532437	81738.39075126627
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	26002.335539120264	43111.83144246356	25670.71993823588	5772.338951743244	66352.21372230373	44081.63265306125	8216.232818858942	2304.501459517588	9549.112471602939	2492.7136063813427	37623.20698773938	7553.9706277081195	2341.0216064781052	4111.198120595145	1477.621806587082	1378.9405140383808	2747.799769025528	1034.0073529411764	1876.1726078799252	38.29363559776363	267.9836147161283	0.0	613.1207847946042	421.1171088396308	4402.587956050689	4716.800245427003	9370.300389465156	4904.590390068202	10703.598557507854	44824.524149646815	1761.37233879614	9389.851295416214	344.5503617778799	3139.2366295317947	803.9508441483864	8677.877198395548	2620.2219482120845	29135.564652058736	3925.94588353027	5672.326042192783	18276.260100038475	0.0	345.2111541559588	0.0	1078.3747352204887	459.8405885959534	306.9249952042966	17091.63346613546	651.6905619872715	14352.42705968039	3579.8144655298497	13900.150584964655	33921.82561097833	1805.5395489992698	1241.6576129132386	690.3693476009662	803.9508441483865	3299.317118084861	21204.039697459906	2254.703778572536	2570.8913702467303	2106.472615855994	2147.403942020095	2770.296267795307	2497.214645203426	1123.6825790452572	2203.409486257681	11170.255665779508	2751.4641720058153	2938.5608784750407
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	1440.2491241728292	972.4473257698546	501.83362285273154	153.92903871315318	3131.3171350430075	7968.901846452871	2188.435844275513	1229.0674450760466	1155.134573177775	1303.880963337933	961.6155140636264	1687.1812569500366	1112.9446981617218	1801.0963194988256	505.5021969903175	191.51951583866398	756.6405161084786	689.3382352941178	1608.1479496113643	38.29363559776363	0.0	0.0	344.8804414469649	191.41686765437765	4326.021208988937	4448.364459101888	5398.526973354411	4827.956165223387	5102.432287270769	5019.111231226604	0.0	843.1703204047217	0.0	114.85012059262664	0.0	1002.7769207034855	346.79408138101115	3973.0315434625563	384.8966552480656	1048.9918023233226	884.9557522123895	0.0	153.42717962487058	0.0	1039.861351819757	306.5603923973023	306.9249952042966	5896.414342629481	115.00421682128322	8225.868643160105	1847.646175757342	2857.2531757982915	3045.2547991673723	192.07867542545418	232.8108024212322	38.353852644498126	153.13349412350223	652.1905931097981	2054.8244655270437	2254.703778572536	2340.662292314187	1723.4775947912674	1840.631950302939	2347.0565602154684	2228.283837258441	232.48605083694974	811.7824423054611	3871.2799419308058	1611.5718721748342	1275.954065653636
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales	467.10782405605266	526.7423014586711	2045.9370777842132	4656.353421072883	237.82155456022838	0.0	1497.3508408200878	4109.694269473031	462.05382927111003	2262.616965792296	400.6731308598443	1188.6958855784349	1842.1153624745743	1566.1707126076742	2022.0087879612695	421.34293484506077	477.87822070009173	612.7450980392157	6738.905693609528	7122.6162211840365	3598.6371119022947	3751.9142419601867	5977.927651747391	7656.674706175107	25956.12725393362	30946.81136633814	31311.456445455588	27741.58939382327	37059.77134965085	1003.8222462453205	0.0	229.95554192856048	0.0	727.3840970866354	1301.6347000497685	0.0	38.53267570900124	0.0	0.0	777.0309646839427	577.1450557906887	4405.792659566311	5868.589620651299	4446.659255567904	5738.494126709028	4176.8853464132435	4680.606176865523	159.3625498007968	115.00421682128322	771.1751852962599	0.0	0.0	424.022820137229	0.0	0.0	0.0	3215.8033765935465	0.0	393.4770253136892	10612.657440522453	6216.185104178662	10187.667560321714	7055.755809494601	4924.971142747213	2650.88939260056	0.0	2010.1279523754279	0.0	0.0	193.32637358388422
k__Bacteria.p__Bacteroidota	73764.11054885168	30105.34846029176	45435.24416135884	7234.6648195182	9790.3206627294	7035.957240038878	436804.115795132	430557.68935320276	222940.97262331055	375556.0668814232	374989.98317172844	391502.7416695426	220708.44686648485	230971.0258418168	270793.6384492748	7392.653311372431	8561.984787543308	113166.36029411765	413523.75847149437	413915.90717622725	575054.5538072813	436485.4517611033	456506.7443286328	452624.3252555416	323341.37284177507	429957.4337538827	375236.1855550844	365775.1551843052	394460.2163738201	194432.64738813206	4097.105222851892	2146.2517246665648	229.70024118525325	497.6838559013821	995.3677118027641	8639.308855291567	29438.96424167693	22112.529095433016	8506.216080982253	14841.291425463301	9157.368218545596	513715.42410543194	633577.5382609031	519147.4680875529	465742.3454650493	423053.34150827763	559792.8256282366	385896.41434262943	4561.833933910902	13581.251874384136	4426.652296085298	3243.3684698250877	117261.58353249556	1882.371019169451	2987.7386310724805	920.492463467955	6967.573982619352	1841.479321721783	6951.427447208511	580897.2166070587	559648.5169410235	501072.3860589816	415561.0092798536	216275.49057329737	359791.0023435398	1046.1872287662738	10205.264988982939	252238.0837164292	3380.3702684642876	4059.853845261569
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	21642.662514597105	33752.02593192871	21308.627678054447	4463.942122681442	54897.14217765273	31642.371234207985	5067.956692006452	691.3504378552763	7161.8343537022065	958.7360024543626	31893.581216443603	5521.684113654666	575.6610507733044	1487.8621769772903	544.3869813741879	306.4312253418624	637.1709609334557	191.48284313725492	268.0246582685607	0.0	267.9836147161283	0.0	268.2403433476393	191.41686765437765	76.5667470617511	0.0	3354.798904870242	76.63422484481566	3452.7737282283406	25249.990347863062	1263.593199571144	6630.384792273493	306.26698824700435	2488.4192795069107	612.5339764940087	4666.769515581607	963.3168927250309	19503.973031543454	2655.7869212116534	2292.2413458176306	3732.2046941131207	0.0	191.78397453108823	0.0	38.51338340073173	38.320049049662785	0.0	2988.0478087649403	0.0	2013.6240949402343	808.345201893837	8996.486350824347	16575.43751445532	1459.7979332334519	737.2342076672353	230.12311586698874	574.2506029631332	2263.484999616358	17619.02680015741	0.0	191.85756494378583	382.9950210647261	306.7719917171565	423.2397075798385	230.51212109570082	542.4674519528828	734.4698287525603	2701.830792805875	628.906096458472	734.64021961876
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Ruegeria	389684.7022187619	1377.6337115072943	4053.2715691951394	76040.94512429766	3131.317135043007	1788.1438289601565	3724.18029639868	7451.221385773532	3003.3498902622155	4755.330572173638	5529.289205865851	4371.333256643277	3223.701884330505	8300.704776820672	5055.021969903174	271574.6734592256	592210.5850025886	163449.75490196075	6164.567140176897	8041.663475530363	4287.737835458052	4479.326186830018	7664.009809932551	7962.941694422111	155621.91340300906	48280.09356904549	45077.700227509325	79316.42271438421	57814.77787155676	116481.98911238968	270676.97962934594	11919.362256630386	72011.02561157687	185750.9283718081	70326.55717621837	168273.68096266565	90705.91861898892	167870.61561923102	252954.08182902882	89669.37332452698	87610.61946902654	17163.43575204963	11315.254497334205	20086.63318894467	4775.659541690735	13488.657265481297	13734.893535392272	36175.298804780876	582381.3539829783	193093.6977850135	46191.154393933546	44017.14351905474	346118.26381928904	169451.80746033564	16529.566971907483	66543.93433820423	14853.948929979715	7557.738049566485	41052.76964106155	12012.128751360578	17574.15294885078	46074.30103408655	15376.946084822468	14467.102731819936	35806.2161435322	669172.3496590203	523019.8306853758	125332.68812000984	417318.50163122476	427328.6161698178
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	19540.677306344867	4051.8638573743947	5134.143987647177	38.482259678288294	436.0061833604187	0.0	0.0	0.0	0.0	38.349440098174504	0.0	460.1403428045555	882.6802778524002	0.0	0.0	0.0	119.46955517502293	76.59313725490196	0.0	0.0	0.0	0.0	344.8804414469648	0.0	382.8337353087555	0.0	0.0	0.0	0.0	52121.539708891636	536.0698422423034	229.95554192856048	0.0	0.0	38.283373530875544	0.0	7745.067817509248	4374.347860984026	1347.1382933682298	2913.866117564785	1577.5298191612158	536.3573672515511	0.0	0.0	0.0	0.0	0.0	76932.27091633464	191.6736947021387	6940.576667666341	0.0	733.6190586509126	10716.213090740877	0.0	0.0	230.12311586698874	2067.3021706672803	115.09245760761142	218.59834739649398	0.0	38.37151298875717	919.1880505553427	0.0	38.476337052712594	0.0	0.0	0.0	67505.44398741842	510.98620337250844	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiales_Incertae_Sedis.g__Anderseniella	0.0	0.0	0.0	153.92903871315318	0.0	0.0	460.72333563695014	1037.0256567829144	885.6031727696276	843.687682159839	440.7404439458287	881.9356570420646	0.0	1840.2505873140174	0.0	268.1273221741296	358.4086655250688	153.18627450980392	344.60313205957806	382.9363559776363	229.70024118525285	191.42419601837688	153.28019619865105	38.28337353087553	15045.365797634091	4026.53679487671	3624.725253537962	114.9513372672235	230.1849152152227	849.3880545152712	1914.5351508653696	804.8443967499617	1110.2178323953906	2947.819761877417	574.2506029631331	2159.827213822892	693.5881627620222	2167.10811461594	731.3036449713247	543.9216752787598	0.0	268.1786836257755	383.56794906217647	383.332694445509	77.02676680146347	459.8405885959534	306.9249952042966	3346.613545816733	21505.788545579962	18422.518315410656	0.0	0.0	2004.4715133759921	153.66294034036335	232.8108024212322	230.12311586698874	153.13349412350223	153.4566101434819	2273.4228129235375	583.1130461825525	575.5726948313575	1953.2746074301033	651.8904823989576	577.145055790689	998.8858580813703	19567.57594544327	24392.129575940286	766.1908218404719	668.2127274871266	734.64021961876
